song_id,title_original,title_ko,vocal_engines,main_link,lyrics_file,mood_tags,joy,sadness,dreamy,tension,dark,energy,cute,chaotic,producers
s0020,次元通信,차원통신,"카사네 테토(重音テト),하츠네 미쿠(初音ミク)",https://youtu.be/PqpCRSOUuIE?si=jDhzPxkm7B6SnpMG,s0020.txt,"sad,chaotic,mysterious,electronic",55,85,95,95,90,85,50,100,뭐든지모에화
s0021,ヤラララ,야라라라,카사네 테토(重音テト),https://youtu.be/T24rF_x0TmQ?si=46hnCYB4N6z17u2t,s0021.txt,"energetic,angry,horror,hopeful",60,60,70,100,100,100,55,100,뭐든지모에화
s0022,アンドロイドガール,안드로이드 걸,하츠네 미쿠(初音ミク),https://youtu.be/uFRPeiAEO0M?si=N8WltLK-lMHfXGGG,s0022.txt,"sad,cute,angry,rock",65,95,60,95,90,100,85,85,DECO*27
s0023,ストリーミングハート,스트리밍 하트,하츠네 미쿠(初音ミク),https://youtu.be/9DD6JvY06Ok?si=ZRaZ5QhGXdqU-3Xe,s0023.txt,"dark,angry,chaotic,rock",35,80,55,100,100,100,50,100,DECO*27
s0024,ゴーストルール,고스트 룰,하츠네 미쿠(初音ミク),https://youtu.be/KushW6zvazM?si=X-ePXyB3wBVl9RPe,s0024.txt,"dark,energetic,fast,rock",55,60,55,95,95,100,50,90,DECO*27
s0025,セカイ,세카이,하츠네 미쿠(初音ミク),https://youtu.be/9vyIPWBeRes?si=-teUK569SrgxAtFe,s0025.txt,"happy,hopeful",100,35,60,50,30,85,65,50,DECO*27
s0026,ヴァンパイア,뱀파이어,하츠네 미쿠(初音ミク),https://youtu.be/e1xCOsgWG0M?si=VocDX7okxYrzErsn,s0026.txt,"dark,energetic,romantic,fast",75,65,70,80,85,100,60,80,DECO*27
s0027,モザイクロール (Reloaded),모자이크 롤 (Reloaded),하츠네 미쿠(初音ミク),https://youtu.be/WysuxO4yR04?si=9rtZIVvNPaAgSKWW,s0027.txt,"dark,lonely,romantic,hopeful,rock",85,100,95,75,100,80,65,70,DECO*27
s0028,アニマル,애니멀,하츠네 미쿠(初音ミク),https://youtu.be/HtBqK6xsQ9k?si=ZNl0WMgJIlOC_znq,s0028.txt,"energetic,chaotic,romantic",80,55,65,80,60,100,60,95,DECO*27
s0029,サラマンダー,샐러맨더,하츠네 미쿠(初音ミク),https://youtu.be/-H2PCK7DJsQ?si=EHm747jk_3yofjtG,s0029.txt,"energetic,angry,fast,rock",60,55,50,100,80,100,50,100,DECO*27
s0030,パラサイト,패러사이트,하츠네 미쿠(初音ミク),https://youtu.be/agcoHM2CJ3s?si=DX6hBQczykqCztuL,s0030.txt,"dark,angry,lonely,romantic,hopeful",80,100,95,90,100,90,65,85,DECO*27
s0031,ラビットホール,래빗 홀,하츠네 미쿠(初音ミク),https://youtu.be/eSW2LVbPThw?si=u_JsIXVUWJOa1BgE,s0031.txt,"cute,energetic,chaotic,fast",85,40,55,90,60,100,85,100,DECO*27
s0032,ルーキー,루키,하츠네 미쿠(初音ミク),https://youtu.be/owv06htaoI8?si=otd8Q36qcPDNHp68,s0032.txt,"dark,chaotic,mysterious,rock",35,75,80,100,100,100,50,100,DECO*27
s0033,モニタリング,모니터링,하츠네 미쿠(初音ミク),https://youtu.be/kbNdx0yqbZE?si=ACJbSSZrfEmZ9p_-,s0033.txt,"cute,lonely,chaotic,romantic,horror",70,95,95,100,100,80,95,100,DECO*27
s0034,テレパシ,텔레파시,하츠네 미쿠(初音ミク),https://youtu.be/c56TpxfO9q0?si=tnF6V9lImcZ92kdW,s0034.txt,"cute,energetic,chaotic",80,45,55,80,60,100,85,95,DECO*27
s0035,モニタリング (Best Friend Remix),모니터링 (베스트 프렌드 리믹스),하츠네 미쿠(初音ミク),https://youtu.be/C-CYwNz3z8w?si=U1zJOxn2rqAt2CEg,s0035.txt,"happy,cute,romantic,hopeful",100,45,80,50,30,95,100,50,DECO*27
s0036,愛言葉V,사랑의 말 V,하츠네 미쿠(初音ミク),https://youtu.be/hK82hfN_ymQ?si=7xZlqSsffkUU5Wf1,s0036.txt,"happy,cute,romantic",100,50,70,50,40,80,100,50,DECO*27
s0037,チェリーポップ,체리 팝,하츠네 미쿠(初音ミク),https://youtu.be/BI9Ue6JwJic?si=-Eih2cq3T6-YevA1,s0037.txt,"energetic,chaotic,romantic,fast",85,50,65,90,60,100,60,100,DECO*27
s0038,ラブパラ,러브파라,하츠네 미쿠(初音ミク),https://youtu.be/RgVLBtRLX9k?si=y4KBX3x9brBlEnOF,s0038.txt,"happy,energetic,lonely,hopeful",100,55,75,60,45,100,65,60,DECO*27
s0039,カイコ,회고,하츠네 미쿠(初音ミク),https://youtu.be/g0JEUPfmu9c?si=kRMynEVsCPiMefw2,s0039.txt,"dark,chaotic,romantic,horror,hopeful",65,80,90,100,100,95,65,100,DECO*27
s0040,ハオ,하오,하츠네 미쿠(初音ミク),https://youtu.be/3GzRDW3hZ1k?si=aHJKrS7bsXPbwh4n,s0040.txt,"happy,energetic,hopeful",100,30,60,60,30,100,65,60,DECO*27
s0041,サッドガール・セックス,새드 걸 섹스,하츠네 미쿠(初音ミク),https://youtu.be/GVXhyFPDClw?si=MN35Hk7RBRU6ukze,s0041.txt,"sad,dark,energetic,chaotic,fast",55,85,60,100,100,100,50,100,DECO*27
